dataset_id,video_id,emotion,url,source_type,status,has_raw_transcript,has_cleaned_transcript,transcription_method,raw_transcript_path,cleaned_transcript_path,notes
1,SPR_001_IG,Surprise,https://www.instagram.com/reel/DNKcHgdA-d1/?igsh=MWFxdnhjbzh1YmdhYw%3D%3D,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Surprise\SPR_001_IG_raw.txt,,
2,SPR_002_IG,Surprise,https://www.instagram.com/reel/DNHwrh2gnBm/?igsh=YTg3cGIycGtqbG51,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Surprise\SPR_002_IG_raw.txt,,
3,SPR_003_IG,Surprise,https://www.instagram.com/reel/DM7QsjnRCoa/?igsh=NDQ1NW11a2ZiZW1y,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Surprise\SPR_003_IG_raw.txt,,
4,SPR_004_IG,Surprise,https://www.instagram.com/reel/DNBBEt6Paxj/?igsh=MTB2bXgyMHhwaHI4dA%3D%3D,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Surprise\SPR_004_IG_raw.txt,,
5,PRD_001_IG,Proud,https://www.instagram.com/reel/DMz13fQzZsN/?igsh=MWxxcDA3N2VsenpnZw%3D%3D,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Proud\PRD_001_IG_raw.txt,,
6,SPR_005_IG,Surprise,https://www.instagram.com/reel/DMz1mj7s6u7/?igsh=MXQzN3ZoNWZsMGk5cg%3D%3D,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Surprise\SPR_005_IG_raw.txt,,
7,PRD_002_IG,Proud,https://www.instagram.com/reel/DMzlY-uxiog/?igsh=bGthOTk2Mm52YTJl,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Proud\PRD_002_IG_raw.txt,,
8,PRD_003_IG,Proud,https://www.instagram.com/reel/DMuCyqkJwwB/?igsh=eTg2ZWtyYTF4ZWxh,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Proud\PRD_003_IG_raw.txt,,
9,TRT_001_IG,Trust,https://www.instagram.com/reel/DMrSfkGzVwK/?igsh=MTY5aXFxNW8yejhwcA%3D%3D,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Trust\TRT_001_IG_raw.txt,,
10,SPR_006_IG,Surprise,https://www.instagram.com/reel/DMozK27xS7J/?igsh=d25seXltcmc2MWpq,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Surprise\SPR_006_IG_raw.txt,,
11,PRD_004_IG,Proud,https://www.instagram.com/reel/DMm5ofzxt1D/?igsh=OGd4eXA1MGJlaWV1,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Proud\PRD_004_IG_raw.txt,,
12,TRT_002_IG,Trust,http://instagram.com/reel/DMmKMrNxr50/?igsh=MWgzOHlpNnd0M3VmNw%3D%3D,IG,deleted_or_unavailable,False,False,whisper:small,data\1_raw\transcripts\Trust\TRT_002_IG_raw.txt,,"instagram cdn video deleted/unavailable: content-type=text/html; charset=""utf-8"""
13,TRT_003_IG,Trust,https://www.instagram.com/reel/DMkLaw4Rqt5/?igsh=MWNhMnR0aHp2cnc2ZQ%3D%3D,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Trust\TRT_003_IG_raw.txt,,
