kelas,sumber,z_maks,kata
Surprise,caption saja,3.8591999419202416,"ikan, dokter, otomotif, reelsinstagram, shell, mobilbaru"
Surprise,transkrip saja,2.7481215384353845,"ikan, mobil, wangi, suv, juta, roda"
Trust,caption saja,3.3010704122421846,"gym, gerakan, dumbbell, sakit, pull, pemula"
Trust,transkrip saja,4.9268677100426155,"kalian, ban, ala, gerakan, dumbbell, gym"
Proud,caption saja,3.2908372697942068,"velg, repetisi, restock, online, sunscreen, ss"
Proud,transkrip saja,4.107680920735986,"bibir, pokoknya, teman, extra, warna, emas"
Joy,caption saja,3.295312970079105,"pon, mobi, jakarta, selamat, atlet, dki"
Joy,transkrip saja,4.790952691739396,"jakarta, kawan, menang, fit, glory, sukses"
Anger,caption saja,3.4224428735418573,"kau, papua, guru, jawa, perusahaan, ko"
Anger,transkrip saja,4.6785978058107425,"jawa, orang, liter, speed, itu, kotor"
